,cabecera,reg_ayu_numdto,reg_ayu_distrito,reg_ayu_nummpio,reg_ayu_municipio,tiposec,seccion,casilla,tipocasilla,idcasilla,extcont,abreviatura,listanom,hombres,mujeres,pan,pri,prd,pvem,pt,mc,morena,txver,podemos,pc,uc,pes,rsp,fxm,ci1,ci2,cnr,vn,party,votes,Unnamed: 0
227,0,1,01 PANUCO,124,PANUCO,U,2815,CONTIGUA 1,C,1,0,C1,443,207,236,48.5,8.5,3.0,10.666666666666666,4.166666666666666,2,188.16666666666663,1.0,0.0,0.0,0.0,2.0,6.0,0.0,,,0,7,morena,2.0,2.0
228,0,1,01 PANUCO,124,PANUCO,U,2815,CONTIGUA 1,C,1,0,C1,443,207,236,48.5,8.5,3.0,10.666666666666666,4.166666666666666,2,188.16666666666663,1.0,0.0,0.0,0.0,2.0,6.0,0.0,,,0,7,txver,188.16666666666663,2.0
229,0,1,01 PANUCO,124,PANUCO,U,2815,CONTIGUA 1,C,1,0,C1,443,207,236,48.5,8.5,3.0,10.666666666666666,4.166666666666666,2,188.16666666666663,1.0,0.0,0.0,0.0,2.0,6.0,0.0,,,0,7,podemos,1.0,2.0
230,0,1,01 PANUCO,124,PANUCO,U,2815,CONTIGUA 1,C,1,0,C1,443,207,236,48.5,8.5,3.0,10.666666666666666,4.166666666666666,2,188.16666666666663,1.0,0.0,0.0,0.0,2.0,6.0,0.0,,,0,7,pc,0.0,2.0
231,0,1,01 PANUCO,124,PANUCO,U,2815,CONTIGUA 1,C,1,0,C1,443,207,236,48.5,8.5,3.0,10.666666666666666,4.166666666666666,2,188.16666666666663,1.0,0.0,0.0,0.0,2.0,6.0,0.0,,,0,7,uc,0.0,2.0
232,0,1,01 PANUCO,124,PANUCO,U,2815,CONTIGUA 1,C,1,0,C1,443,207,236,48.5,8.5,3.0,10.666666666666666,4.166666666666666,2,188.16666666666663,1.0,0.0,0.0,0.0,2.0,6.0,0.0,,,0,7,rsp,2.0,2.0
233,0,1,01 PANUCO,124,PANUCO,U,2815,CONTIGUA 1,C,1,0,C1,443,207,236,48.5,8.5,3.0,10.666666666666666,4.166666666666666,2,188.16666666666663,1.0,0.0,0.0,0.0,2.0,6.0,0.0,,,0,7,fxm,6.0,2.0
234,0,1,01 PANUCO,124,PANUCO,U,2816,BÃSICA,B,1,0,B1,534,255,279,69.5,18.5,2.0,10.166666666666666,3.6666666666666665,5,198.16666666666663,2.0,0.0,0.0,2.0,6.0,3.0,1.0,,,0,7,pan,279.0,3.0
235,0,1,01 PANUCO,124,PANUCO,U,2816,BÃSICA,B,1,0,B1,534,255,279,69.5,18.5,2.0,10.166666666666666,3.6666666666666665,5,198.16666666666663,2.0,0.0,0.0,2.0,6.0,3.0,1.0,,,0,7,pri,69.5,3.0
236,0,1,01 PANUCO,124,PANUCO,U,2816,BÃSICA,B,1,0,B1,534,255,279,69.5,18.5,2.0,10.166666666666666,3.6666666666666665,5,198.16666666666663,2.0,0.0,0.0,2.0,6.0,3.0,1.0,,,0,7,prd,18.5,3.0
237,0,1,01 PANUCO,124,PANUCO,U,2816,BÃSICA,B,1,0,B1,534,255,279,69.5,18.5,2.0,10.166666666666666,3.6666666666666665,5,198.16666666666663,2.0,0.0,0.0,2.0,6.0,3.0,1.0,,,0,7,pvem,2.0,3.0
238,0,1,01 PANUCO,124,PANUCO,U,2816,BÃSICA,B,1,0,B1,534,255,279,69.5,18.5,2.0,10.166666666666666,3.6666666666666665,5,198.16666666666663,2.0,0.0,0.0,2.0,6.0,3.0,1.0,,,0,7,pt,10.166666666666666,3.0
239,0,1,01 PANUCO,124,PANUCO,U,2816,BÃSICA,B,1,0,B1,534,255,279,69.5,18.5,2.0,10.166666666666666,3.6666666666666665,5,198.16666666666663,2.0,0.0,0.0,2.0,6.0,3.0,1.0,,,0,7,mc,3.6666666666666665,3.0
240,0,1,01 PANUCO,124,PANUCO,U,2816,BÃSICA,B,1,0,B1,534,255,279,69.5,18.5,2.0,10.166666666666666,3.6666666666666665,5,198.16666666666663,2.0,0.0,0.0,2.0,6.0,3.0,1.0,,,0,7,morena,5.0,3.0
241,0,1,01 PANUCO,124,PANUCO,U,2816,BÃSICA,B,1,0,B1,534,255,279,69.5,18.5,2.0,10.166666666666666,3.6666666666666665,5,198.16666666666663,2.0,0.0,0.0,2.0,6.0,3.0,1.0,,,0,7,txver,198.16666666666663,3.0
242,0,1,01 PANUCO,124,PANUCO,U,2816,BÃSICA,B,1,0,B1,534,255,279,69.5,18.5,2.0,10.166666666666666,3.6666666666666665,5,198.16666666666663,2.0,0.0,0.0,2.0,6.0,3.0,1.0,,,0,7,podemos,2.0,3.0
